HEA combinations,Al,Fe,Co,Cr,Ni,Mn,Cu,Si,Ti,V,Mo,Nb,Zr,Ta,ΔSmix,VEC,δ,Tm,ΔHmix,Ω,Δχ,Phases,
AlCoCrFeNi2.1Ti0.8,14.5,14.5,14.5,14.5,30.4,0,0,0,11.6,0,0,0,0,0,13.42,7.22,6.68,1790,-16.8,1.43,0.21,FCC ,
TiAlNiSiV,20,0,0,0,20,0,0,20,20,20,0,0,0,0,13.3808668,5.2,9.920460776,1694.4,-11.2,2.024333992,0.155614909,MIP,
Al₇(CoFeNi)₈₆Ti₇,20,20,20,0,20,0,0,0,20,0,0,0,0,0,13.3808668,6.8,7.443229276,1636.2,-13.6,1.609836343,0.150013333,MIP,
TiTaMoVZr,0,0,0,0,0,0,0,0,20,20,20,0,20,20,10.70469344,4,22.75162916,2062,-0.32,68.97836837,0.386875691,BCC,
CoCrFeNi,0,25,25,25,25,0,0,0,0,0,0,0,0,0,11.52565132,8.25,1.176159003,1871.75,0.25,86.29255142,0.096695398,MIP,
CoCrFeNiNb,0,20,20,20,20,0,0,0,0,0,0,20,0,0,13.3808668,7.6,6.32304608,2047.4,0.16,171.2249168,0.123385575,MIP,
FeCuNiTiAl,20,20,0,0,20,0,20,0,20,0,0,0,0,0,13.3808668,7.2,7.09460815,1554.2,-10.4,1.999667614,0.153544782,MIP,
FeCoCrNiNb0.25,0,23.52941176,23.52941176,23.52941176,23.52941176,0,0,0,0,0,0,5.882352941,0,0,12.70766391,8.058823529,3.919978866,1923.411765,0.221453287,110.3712236,0.107142824,FCC ,
FeCoCrNiNb0.6,0,21.73913043,21.73913043,21.73913043,21.73913043,0,0,0,0,0,0,13.04347826,0,0,13.24158918,7.826086957,5.419276903,1986.304348,0.189035917,139.1366604,0.116704918,BCC + FCC,
FeCoCrNiNb0.8,0,20.83333333,20.83333333,20.83333333,20.83333333,0,0,0,0,0,0,16.66666667,0,0,13.35067532,7.708333333,5.937311474,2018.125,0.173611111,155.1935902,0.120473602,BCC + FCC,
NiTiCrNbTa0.1,0,0,0,22.5,22.5,0,0,0,22.5,0,0,22.5,0,10,11.9,5.88,6.52,1965,-16.8,1.39,0.19,MIP,
NiTiCrNbTa0.3,0,0,0,17.5,17.5,0,0,0,17.5,0,0,17.5,0,30,12.8,5.82,6.78,2015,-17.5,1.47,0.2,MIP,
NiTiCrNbTa0.5,0,0,0,12.5,12.5,0,0,0,12.5,0,0,12.5,0,50,13.4,5.76,7.02,2060,-18.1,1.52,0.21,MIP,
NiTiCrNbTa1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,13.9,5.7,7.35,2140,-19,1.57,0.22,MIP,
